{'order_id': 'o_00001', 'customer_id': 'u_3802013660', 'product_id': '1677770', 'create_time': '2023-07-14 00:25:52'}
{'order_id': 'o_00056', 'customer_id': 'u_3802013660', 'product_id': '1356972', 'create_time': '2023-01-09 10:18:23'}
{'order_id': 'o_00057', 'customer_id': 'u_3802013660', 'product_id': '1369024', 'create_time': '2023-10-25 21:25:05'}
{'order_id': 'o_00058', 'customer_id': 'u_3802013660', 'product_id': '1666827', 'create_time': '2023-07-20 23:00:07'}
{'order_id': 'o_00059', 'customer_id': 'u_3802013660', 'product_id': '1372281', 'create_time': '2023-06-19 03:10:48'}
{'order_id': 'o_00060', 'customer_id': 'u_3802013660', 'product_id': '1039855', 'create_time': '2023-06-08 11:44:19'}
{'order_id': 'o_00061', 'customer_id': 'u_3802013660', 'product_id': '1127956', 'create_time': '2023-05-16 03:21:34'}
{'order_id': 'o_00062', 'customer_id': 'u_3802013660', 'product_id': '1330152', 'create_time': '2023-01-24 09:39:23'}
{'order_id': 'o_00063', 'customer_id': 'u_3802013660', 'product_id': '1143356', 'create_time': '2023-05-08 03:07:24'}
{'order_id': 'o_00064', 'customer_id': 'u_3802013660', 'product_id': '1667392', 'create_time': '2023-05-04 21:17:39'}
{'order_id': 'o_00065', 'customer_id': 'u_3802013660', 'product_id': '1118624', 'create_time': '2023-03-22 06:31:16'}
{'order_id': 'o_00066', 'customer_id': 'u_3802013660', 'product_id': '1117621', 'create_time': '2023-10-23 20:40:26'}
{'order_id': 'o_00067', 'customer_id': 'u_3802013660', 'product_id': '1292271', 'create_time': '2023-01-22 09:13:08'}
{'order_id': 'o_00068', 'customer_id': 'u_3802013660', 'product_id': '1383799', 'create_time': '2023-02-20 13:58:20'}
{'order_id': 'o_00069', 'customer_id': 'u_3802013660', 'product_id': '1700239', 'create_time': '2023-10-22 22:45:34'}
{'order_id': 'o_00070', 'customer_id': 'u_3802013660', 'product_id': '1684455', 'create_time': '2023-08-21 00:54:35'}
{'order_id': 'o_00071', 'customer_id': 'u_3802013660', 'product_id': '1117229', 'create_time': '2023-08-19 23:35:09'}
{'order_id': 'o_00072', 'customer_id': 'u_3802013660', 'product_id': '1634510', 'create_time': '2023-10-19 13:04:20'}
{'order_id': 'o_00073', 'customer_id': 'u_3802013660', 'product_id': '1231020', 'create_time': '2023-10-05 21:29:22'}
{'order_id': 'o_00074', 'customer_id': 'u_3802013660', 'product_id': '1207142', 'create_time': '2023-12-23 09:27:08'}
{'order_id': 'o_00075', 'customer_id': 'u_3802013660', 'product_id': '1169473', 'create_time': '2023-06-27 18:02:45'}
{'order_id': 'o_00076', 'customer_id': 'u_3802013660', 'product_id': '1282019', 'create_time': '2023-02-10 15:18:48'}
{'order_id': 'o_00077', 'customer_id': 'u_3802013660', 'product_id': '1549297', 'create_time': '2023-10-25 09:15:09'}
{'order_id': 'o_00078', 'customer_id': 'u_3802013660', 'product_id': '1435287', 'create_time': '2023-02-14 05:54:13'}
{'order_id': 'o_00079', 'customer_id': 'u_3802013660', 'product_id': '1275222', 'create_time': '2023-08-17 02:33:10'}
{'order_id': 'o_00080', 'customer_id': 'u_3802013660', 'product_id': '1556389', 'create_time': '2023-03-24 06:56:30'}
{'order_id': 'o_00081', 'customer_id': 'u_3802013660', 'product_id': '1437061', 'create_time': '2023-11-21 16:35:25'}
{'order_id': 'o_00082', 'customer_id': 'u_3802013660', 'product_id': '1338136', 'create_time': '2023-07-17 12:56:49'}
{'order_id': 'o_00083', 'customer_id': 'u_3802013660', 'product_id': '1478494', 'create_time': '2023-11-21 22:55:00'}
{'order_id': 'o_00084', 'customer_id': 'u_3802013660', 'product_id': '1137001', 'create_time': '2023-12-20 23:32:59'}
{'order_id': 'o_00085', 'customer_id': 'u_3802013660', 'product_id': '1545325', 'create_time': '2023-04-12 04:31:57'}
{'order_id': 'o_00086', 'customer_id': 'u_3802013660', 'product_id': '1692119', 'create_time': '2023-10-05 15:39:21'}
{'order_id': 'o_00087', 'customer_id': 'u_3802013660', 'product_id': '1292432', 'create_time': '2023-11-27 04:27:42'}
{'order_id': 'o_00088', 'customer_id': 'u_3802013660', 'product_id': '1361454', 'create_time': '2023-12-12 01:41:13'}
{'order_id': 'o_00089', 'customer_id': 'u_3802013660', 'product_id': '1223013', 'create_time': '2023-05-14 09:14:42'}
{'order_id': 'o_00090', 'customer_id': 'u_3802013660', 'product_id': '1333551', 'create_time': '2023-08-03 11:59:21'}
{'order_id': 'o_00091', 'customer_id': 'u_3802013660', 'product_id': '1639332', 'create_time': '2023-04-23 02:55:00'}
{'order_id': 'o_00092', 'customer_id': 'u_3802013660', 'product_id': '1623820', 'create_time': '2023-01-04 10:29:14'}
{'order_id': 'o_00093', 'customer_id': 'u_3802013660', 'product_id': '1189256', 'create_time': '2023-02-20 15:00:22'}
{'order_id': 'o_00094', 'customer_id': 'u_3802013660', 'product_id': '1368790', 'create_time': '2023-03-02 10:13:59'}
{'order_id': 'o_00095', 'customer_id': 'u_3802013660', 'product_id': '1452168', 'create_time': '2023-02-07 21:57:28'}
{'order_id': 'o_00096', 'customer_id': 'u_3802013660', 'product_id': '1478495', 'create_time': '2023-04-11 00:29:52'}
{'order_id': 'o_00097', 'customer_id': 'u_3802013660', 'product_id': '1637929', 'create_time': '2023-12-21 15:01:59'}
{'order_id': 'o_00098', 'customer_id': 'u_3802013660', 'product_id': '1095582', 'create_time': '2023-03-17 15:00:09'}
{'order_id': 'o_00099', 'customer_id': 'u_3802013660', 'product_id': '1081872', 'create_time': '2023-01-13 17:16:02'}
{'order_id': 'o_00100', 'customer_id': 'u_3802013660', 'product_id': '1034653', 'create_time': '2023-04-26 21:23:55'}
{'order_id': 'o_00101', 'customer_id': 'u_3802013660', 'product_id': '1365653', 'create_time': '2023-06-27 01:01:29'}
{'order_id': 'o_00102', 'customer_id': 'u_3802013660', 'product_id': '1331935', 'create_time': '2023-09-10 23:45:20'}
{'order_id': 'o_00103', 'customer_id': 'u_3802013660', 'product_id': '1309665', 'create_time': '2023-09-13 08:20:09'}
{'order_id': 'o_00104', 'customer_id': 'u_3802013660', 'product_id': '1416737', 'create_time': '2023-05-10 10:26:17'}
{'order_id': 'o_00105', 'customer_id': 'u_3802013660', 'product_id': '1713971', 'create_time': '2023-12-16 00:44:04'}
{'order_id': 'o_00106', 'customer_id': 'u_3802013660', 'product_id': '1387734', 'create_time': '2023-08-24 19:39:20'}
{'order_id': 'o_00107', 'customer_id': 'u_3802013660', 'product_id': '1300790', 'create_time': '2023-02-26 07:48:49'}
{'order_id': 'o_00108', 'customer_id': 'u_3802013660', 'product_id': '1698735', 'create_time': '2023-09-09 06:18:51'}
{'order_id': 'o_00109', 'customer_id': 'u_3802013660', 'product_id': '1678612', 'create_time': '2023-08-08 10:26:21'}
{'order_id': 'o_00110', 'customer_id': 'u_3802013660', 'product_id': '1327840', 'create_time': '2023-09-02 16:42:49'}
{'order_id': 'o_00111', 'customer_id': 'u_3802013660', 'product_id': '1254623', 'create_time': '2023-04-14 15:14:55'}
{'order_id': 'o_00112', 'customer_id': 'u_3802013660', 'product_id': '1169477', 'create_time': '2023-09-13 20:37:04'}
{'order_id': 'o_00113', 'customer_id': 'u_3802013660', 'product_id': '911335', 'create_time': '2023-07-14 23:48:37'}
{'order_id': 'o_00114', 'customer_id': 'u_3802013660', 'product_id': '1556593', 'create_time': '2023-05-20 22:54:43'}
{'order_id': 'o_00115', 'customer_id': 'u_3802013660', 'product_id': '1541042', 'create_time': '2023-09-12 01:04:07'}
{'order_id': 'o_00116', 'customer_id': 'u_3802013660', 'product_id': '1284829', 'create_time': '2023-12-09 16:31:26'}
{'order_id': 'o_00117', 'customer_id': 'u_3802013660', 'product_id': '1627041', 'create_time': '2023-01-14 20:53:32'}
{'order_id': 'o_00118', 'customer_id': 'u_3802013660', 'product_id': '1545926', 'create_time': '2023-02-25 10:02:02'}
{'order_id': 'o_00119', 'customer_id': 'u_3802013660', 'product_id': '1373352', 'create_time': '2023-01-15 23:31:26'}
{'order_id': 'o_00120', 'customer_id': 'u_3802013660', 'product_id': '1652357', 'create_time': '2023-04-19 13:41:30'}
{'order_id': 'o_00121', 'customer_id': 'u_3802013660', 'product_id': '1606796', 'create_time': '2023-07-14 06:23:23'}
{'order_id': 'o_00122', 'customer_id': 'u_3802013660', 'product_id': '1585103', 'create_time': '2023-07-23 19:44:43'}
{'order_id': 'o_00123', 'customer_id': 'u_3802013660', 'product_id': '1249204', 'create_time': '2023-10-09 08:21:41'}
{'order_id': 'o_00124', 'customer_id': 'u_3802013660', 'product_id': '1603308', 'create_time': '2023-03-06 16:58:34'}
{'order_id': 'o_00125', 'customer_id': 'u_3802013660', 'product_id': '1608192', 'create_time': '2023-09-17 11:00:57'}
{'order_id': 'o_00126', 'customer_id': 'u_3802013660', 'product_id': '1666910', 'create_time': '2023-10-24 00:42:13'}
{'order_id': 'o_00127', 'customer_id': 'u_3802013660', 'product_id': '1721560', 'create_time': '2023-01-04 13:29:35'}
{'order_id': 'o_00128', 'customer_id': 'u_3802013660', 'product_id': '1362443', 'create_time': '2023-06-06 16:14:55'}
{'order_id': 'o_00129', 'customer_id': 'u_3802013660', 'product_id': '1389021', 'create_time': '2023-10-05 15:31:32'}
{'order_id': 'o_00130', 'customer_id': 'u_3802013660', 'product_id': '1173834', 'create_time': '2023-07-04 00:10:54'}
{'order_id': 'o_00131', 'customer_id': 'u_3802013660', 'product_id': '1504098', 'create_time': '2023-09-10 17:00:28'}
{'order_id': 'o_00132', 'customer_id': 'u_3802013660', 'product_id': '1454341', 'create_time': '2023-03-08 08:07:52'}
{'order_id': 'o_00133', 'customer_id': 'u_3802013660', 'product_id': '1305448', 'create_time': '2023-07-21 01:10:05'}
{'order_id': 'o_00134', 'customer_id': 'u_3802013660', 'product_id': '1379735', 'create_time': '2023-12-17 04:04:07'}
{'order_id': 'o_00135', 'customer_id': 'u_3802013660', 'product_id': '1329206', 'create_time': '2023-03-28 08:52:03'}
{'order_id': 'o_00136', 'customer_id': 'u_3802013660', 'product_id': '1407275', 'create_time': '2023-07-10 13:38:41'}
{'order_id': 'o_00137', 'customer_id': 'u_3802013660', 'product_id': '1538505', 'create_time': '2023-11-25 08:58:41'}
{'order_id': 'o_00138', 'customer_id': 'u_3802013660', 'product_id': '1666824', 'create_time': '2023-10-14 21:36:26'}
{'order_id': 'o_00139', 'customer_id': 'u_3802013660', 'product_id': '1256712', 'create_time': '2023-04-07 06:07:09'}
{'order_id': 'o_00140', 'customer_id': 'u_3802013660', 'product_id': '1431555', 'create_time': '2023-02-17 03:38:23'}
{'order_id': 'o_00141', 'customer_id': 'u_3802013660', 'product_id': '1360372', 'create_time': '2023-06-28 00:46:00'}
{'order_id': 'o_00142', 'customer_id': 'u_3802013660', 'product_id': '1164089', 'create_time': '2023-11-06 17:52:29'}
{'order_id': 'o_00143', 'customer_id': 'u_3802013660', 'product_id': '1181091', 'create_time': '2023-04-27 14:53:25'}
{'order_id': 'o_00144', 'customer_id': 'u_3802013660', 'product_id': '1291338', 'create_time': '2023-05-17 00:42:24'}
{'order_id': 'o_00145', 'customer_id': 'u_3802013660', 'product_id': '1571553', 'create_time': '2023-12-28 02:16:42'}
{'order_id': 'o_00146', 'customer_id': 'u_3802013660', 'product_id': '1293489', 'create_time': '2023-08-15 01:50:00'}
{'order_id': 'o_00147', 'customer_id': 'u_3802013660', 'product_id': '1619124', 'create_time': '2023-09-02 10:48:37'}
{'order_id': 'o_00148', 'customer_id': 'u_3802013660', 'product_id': '1428575', 'create_time': '2023-06-02 02:38:09'}
{'order_id': 'o_00149', 'customer_id': 'u_3802013660', 'product_id': '1651418', 'create_time': '2023-06-23 20:27:40'}
{'order_id': 'o_00150', 'customer_id': 'u_3802013660', 'product_id': '1388895', 'create_time': '2023-05-27 13:40:05'}
{'order_id': 'o_00151', 'customer_id': 'u_3802013660', 'product_id': '1648246', 'create_time': '2023-09-16 13:03:05'}
{'order_id': 'o_00152', 'customer_id': 'u_3802013660', 'product_id': '1596510', 'create_time': '2023-06-09 14:51:22'}
{'order_id': 'o_00153', 'customer_id': 'u_3802013660', 'product_id': '1135770', 'create_time': '2023-07-15 16:04:48'}
{'order_id': 'o_00154', 'customer_id': 'u_3802013660', 'product_id': '1553062', 'create_time': '2023-05-02 09:01:21'}
{'order_id': 'o_00155', 'customer_id': 'u_3802013660', 'product_id': '1692629', 'create_time': '2023-12-18 10:15:57'}
{'order_id': 'o_00156', 'customer_id': 'u_3802013660', 'product_id': '1627546', 'create_time': '2023-09-11 10:24:59'}
{'order_id': 'o_00157', 'customer_id': 'u_3802013660', 'product_id': '1138064', 'create_time': '2023-11-23 20:32:25'}
{'order_id': 'o_00158', 'customer_id': 'u_3802013660', 'product_id': '1227193', 'create_time': '2023-07-11 18:31:44'}
{'order_id': 'o_00159', 'customer_id': 'u_3802013660', 'product_id': '1686752', 'create_time': '2023-04-16 19:42:45'}
{'order_id': 'o_00160', 'customer_id': 'u_3802013660', 'product_id': '1510209', 'create_time': '2023-02-16 05:25:27'}
{'order_id': 'o_00161', 'customer_id': 'u_3802013660', 'product_id': '1276979', 'create_time': '2023-12-09 01:44:40'}
{'order_id': 'o_00162', 'customer_id': 'u_3802013660', 'product_id': '1592627', 'create_time': '2023-02-19 17:59:53'}
{'order_id': 'o_00163', 'customer_id': 'u_3802013660', 'product_id': '1703517', 'create_time': '2023-10-13 11:23:45'}
{'order_id': 'o_00164', 'customer_id': 'u_3802013660', 'product_id': '1608188', 'create_time': '2023-09-15 11:48:39'}
{'order_id': 'o_00165', 'customer_id': 'u_3802013660', 'product_id': '1284393', 'create_time': '2023-07-18 02:06:49'}
{'order_id': 'o_00166', 'customer_id': 'u_3802013660', 'product_id': '1552318', 'create_time': '2023-06-23 18:45:54'}
{'order_id': 'o_00167', 'customer_id': 'u_3802013660', 'product_id': '1713453', 'create_time': '2023-10-17 07:00:10'}
{'order_id': 'o_00168', 'customer_id': 'u_3802013660', 'product_id': '1351319', 'create_time': '2023-06-06 14:18:54'}
{'order_id': 'o_00169', 'customer_id': 'u_3802013660', 'product_id': '1451739', 'create_time': '2023-03-27 07:31:27'}
{'order_id': 'o_00170', 'customer_id': 'u_3802013660', 'product_id': '1142637', 'create_time': '2023-10-18 17:33:37'}
{'order_id': 'o_00171', 'customer_id': 'u_3802013660', 'product_id': '1114466', 'create_time': '2023-08-04 15:03:32'}
{'order_id': 'o_00172', 'customer_id': 'u_3802013660', 'product_id': '1711650', 'create_time': '2023-09-13 11:00:24'}
{'order_id': 'o_00173', 'customer_id': 'u_3802013660', 'product_id': '1662641', 'create_time': '2023-05-18 01:43:19'}
{'order_id': 'o_00174', 'customer_id': 'u_3802013660', 'product_id': '1520116', 'create_time': '2023-08-26 16:23:30'}
{'order_id': 'o_00175', 'customer_id': 'u_3802013660', 'product_id': '1104434', 'create_time': '2023-12-11 21:41:41'}
{'order_id': 'o_00176', 'customer_id': 'u_3802013660', 'product_id': '1031201', 'create_time': '2023-07-07 15:36:56'}
{'order_id': 'o_00177', 'customer_id': 'u_3802013660', 'product_id': '1113278', 'create_time': '2023-04-04 12:53:26'}
{'order_id': 'o_00178', 'customer_id': 'u_3802013660', 'product_id': '1692265', 'create_time': '2023-05-01 12:29:00'}
{'order_id': 'o_00179', 'customer_id': 'u_3802013660', 'product_id': '1332174', 'create_time': '2023-02-16 15:05:53'}
{'order_id': 'o_00180', 'customer_id': 'u_3802013660', 'product_id': '1698204', 'create_time': '2023-02-19 10:23:09'}
{'order_id': 'o_00181', 'customer_id': 'u_3802013660', 'product_id': '1154220', 'create_time': '2023-12-25 09:00:57'}
{'order_id': 'o_00182', 'customer_id': 'u_3802013660', 'product_id': '1147271', 'create_time': '2023-02-27 17:34:01'}
{'order_id': 'o_00183', 'customer_id': 'u_3802013660', 'product_id': '1278689', 'create_time': '2023-02-10 13:35:45'}
{'order_id': 'o_00184', 'customer_id': 'u_3802013660', 'product_id': '1217878', 'create_time': '2023-03-05 15:36:08'}
{'order_id': 'o_00185', 'customer_id': 'u_3802013660', 'product_id': '1586537', 'create_time': '2023-09-18 20:33:02'}
{'order_id': 'o_00186', 'customer_id': 'u_3802013660', 'product_id': '1180633', 'create_time': '2023-03-15 12:17:55'}
{'order_id': 'o_00187', 'customer_id': 'u_3802013660', 'product_id': '1228242', 'create_time': '2023-07-23 21:59:09'}
{'order_id': 'o_00188', 'customer_id': 'u_3802013660', 'product_id': '1575576', 'create_time': '2023-07-21 11:57:27'}
{'order_id': 'o_00189', 'customer_id': 'u_3802013660', 'product_id': '1235644', 'create_time': '2023-08-02 04:01:13'}
{'order_id': 'o_00190', 'customer_id': 'u_3802013660', 'product_id': '1352979', 'create_time': '2023-04-09 01:34:02'}
{'order_id': 'o_00191', 'customer_id': 'u_3802013660', 'product_id': '1016339', 'create_time': '2023-03-26 05:32:29'}
{'order_id': 'o_00192', 'customer_id': 'u_3802013660', 'product_id': '1591708', 'create_time': '2023-05-18 14:49:43'}
{'order_id': 'o_00193', 'customer_id': 'u_3802013660', 'product_id': '1308882', 'create_time': '2023-05-07 14:26:08'}
{'order_id': 'o_00194', 'customer_id': 'u_3802013660', 'product_id': '1229978', 'create_time': '2023-10-21 06:54:15'}
{'order_id': 'o_00195', 'customer_id': 'u_3802013660', 'product_id': '1658616', 'create_time': '2023-01-13 17:22:23'}
{'order_id': 'o_00196', 'customer_id': 'u_3802013660', 'product_id': '1299891', 'create_time': '2023-06-01 02:38:07'}
{'order_id': 'o_00197', 'customer_id': 'u_3802013660', 'product_id': '1226779', 'create_time': '2023-02-12 23:59:55'}
{'order_id': 'o_00198', 'customer_id': 'u_3802013660', 'product_id': '1717660', 'create_time': '2023-05-20 19:45:23'}
{'order_id': 'o_00199', 'customer_id': 'u_3802013660', 'product_id': '1333238', 'create_time': '2023-10-08 05:33:22'}
{'order_id': 'o_00200', 'customer_id': 'u_4132025874', 'product_id': '1176047', 'create_time': '2023-11-05 20:37:55'}
{'order_id': 'o_00201', 'customer_id': 'u_4132025874', 'product_id': '1678679', 'create_time': '2023-08-10 21:04:40'}
{'order_id': 'o_00202', 'customer_id': 'u_4132025874', 'product_id': '1681309', 'create_time': '2023-12-03 08:02:43'}
{'order_id': 'o_00203', 'customer_id': 'u_4132025874', 'product_id': '1352976', 'create_time': '2023-05-02 01:57:00'}
{'order_id': 'o_00204', 'customer_id': 'u_4132025874', 'product_id': '1705905', 'create_time': '2023-12-22 16:07:28'}
{'order_id': 'o_00205', 'customer_id': 'u_4132025874', 'product_id': '1176404', 'create_time': '2023-04-16 22:29:40'}
{'order_id': 'o_00206', 'customer_id': 'u_4132025874', 'product_id': '1564431', 'create_time': '2023-05-19 04:19:36'}
{'order_id': 'o_00207', 'customer_id': 'u_4132025874', 'product_id': '1086990', 'create_time': '2023-11-19 17:54:36'}
{'order_id': 'o_00208', 'customer_id': 'u_4132025874', 'product_id': '1574982', 'create_time': '2023-03-12 11:00:51'}
{'order_id': 'o_00209', 'customer_id': 'u_4132025874', 'product_id': '1417390', 'create_time': '2023-09-06 21:28:29'}
{'order_id': 'o_00210', 'customer_id': 'u_4132025874', 'product_id': '1717441', 'create_time': '2023-05-25 14:19:25'}
{'order_id': 'o_00211', 'customer_id': 'u_4132025874', 'product_id': '1572737', 'create_time': '2023-03-15 05:31:20'}
{'order_id': 'o_00212', 'customer_id': 'u_4132025874', 'product_id': '1376465', 'create_time': '2023-08-18 18:25:06'}
{'order_id': 'o_00213', 'customer_id': 'u_4132025874', 'product_id': '1408904', 'create_time': '2023-07-21 11:59:11'}
{'order_id': 'o_00214', 'customer_id': 'u_4132025874', 'product_id': '1643829', 'create_time': '2023-08-10 05:47:59'}
{'order_id': 'o_00215', 'customer_id': 'u_4132025874', 'product_id': '1716488', 'create_time': '2023-01-16 13:20:55'}
{'order_id': 'o_00216', 'customer_id': 'u_4132025874', 'product_id': '1351874', 'create_time': '2023-09-27 21:36:54'}
{'order_id': 'o_00217', 'customer_id': 'u_4132025874', 'product_id': '995231', 'create_time': '2023-03-27 09:13:48'}
{'order_id': 'o_00218', 'customer_id': 'u_4132025874', 'product_id': '1248066', 'create_time': '2023-12-01 12:02:42'}
{'order_id': 'o_00219', 'customer_id': 'u_4132025874', 'product_id': '1661386', 'create_time': '2023-03-20 07:15:29'}
{'order_id': 'o_00220', 'customer_id': 'u_4132025874', 'product_id': '1377073', 'create_time': '2023-01-19 00:41:30'}
{'order_id': 'o_00221', 'customer_id': 'u_4132025874', 'product_id': '1308416', 'create_time': '2023-02-21 08:30:34'}
{'order_id': 'o_00222', 'customer_id': 'u_4132025874', 'product_id': '1675250', 'create_time': '2023-11-27 16:04:30'}
{'order_id': 'o_00223', 'customer_id': 'u_4132025874', 'product_id': '1604475', 'create_time': '2023-07-04 12:06:14'}
{'order_id': 'o_00224', 'customer_id': 'u_4132025874', 'product_id': '1311432', 'create_time': '2023-11-09 05:54:06'}
{'order_id': 'o_00225', 'customer_id': 'u_4132025874', 'product_id': '1657857', 'create_time': '2023-04-14 06:13:32'}
